LOCATION,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,FGM,opposing_team,GAME_CLOCK_sec
A,3,2,2,4,3.4,19.7,2,5.5,0,BOS,377
H,5,1,11.6,0,1.2,25,3,6.9,0,DEN,182
A,5,1,14.1,0,0.8,22.9,3,4.4,0,IND,350
A,5,2,2.8,1,2.8,2.9,2,0.6,1,BOS,416
H,9,3,18.7,0,0.8,24.6,3,6.4,0,MIL,92
H,13,2,11,12,13.5,25.2,3,5.3,1,POR,405
A,3,2,6.6,0,1,23.9,3,9.5,0,BOS,617
H,6,3,9.4,0,1.1,20,2,5.2,1,CHA,696
H,1,2,7.4,1,4.2,3.1,2,0.8,0,CLE,607
H,2,2,8.4,0,3.8,13.4,2,3.8,0,GSW,634
H,12,4,5.9,0,0.8,24.5,3,7.1,0,WAS,11
H,11,4,11.4,0,0.7,16.1,2,1.7,1,LAL,193
H,14,3,18.5,0,1.1,25.3,3,14.8,0,CHI,678
A,5,1,9.4,0,1,22.9,3,8.3,1,DET,280
H,10,4,9.4,15,14.9,17.7,2,3.7,1,MIA,386
H,3,2,8.5,2,3,4.8,2,3.2,0,NOP,315
H,12,3,0.1,0,1.9,17.8,2,3.9,0,PHX,129
H,4,1,14.4,4,3.1,9.9,2,4.5,0,MIA,284
